#			External									Internal
#				Major Dia		Pitch Dia		Minor Dia				Minor Dia		Pitch Dia		Major Dia
#Size mm	Thread Designation	Pitch mm	Class	Max	Min	Max	Min	Max	Min	 	Class	Min	Max	Min	Max	Min
# Source: https://web.archive.org/web/20200311203631/http://mdmetric.com:80/tech/thddat16.htm

105	TR105x12	12	7e	105	104.4	98.83	98.3	92	91.177	 	7H	93	93.8	99	99.71	106
105	TR105x20	20	7e	105	104.15	94.788	94.188	83	82.038	 	7H	85	86.18	95	95.8	107
110	TR110x4	4	7e	110	109.7	107.905	107.59	105.5	105.011	 	7H	106	106.375	108	108.425	110.5
110	TR110x12	12	7e	110	109.4	103.83	103.3	97	96.177	 	7H	98	98.8	104	104.71	111
110	TR110x20	20	7e	110	109.15	99.788	99.188	88	87.038	 	7H	90	91.18	100	100.8	112
115	TR115x6	6	7e	115	114.575	111.875	111.5	108	107.413	 	7H	109	109.56	112	112.5	116
115	TR115x12	12	7e	115	114.4	108.83	108.33	102	101.215	 	7H	103	103.8	109	109.67	116
115	TR115x14	14	7e	115	114.33	107.82	107.29	99	98.157	 	7H	101	101.9	108	108.71	117
115	TR115x22	22	7e	115	114.1	103.776	103.146	91	89.989	 	7H	93	94.25	104	104.85	117
120	TR120x6	6	7e	120	119.575	116.875	116.5	113	112.413	 	7H	114	114.56	117	117.5	121
120	TR120x12	12	7e	120	119.4	113.83	113.33	107	106.215	 	7H	108	108.8	114	114.67	121
120	TR120x14	14	7e	120	119.33	112.82	112.29	104	103.157	 	7H	106	106.9	113	113.71	122
120	TR120x22	22	7e	120	119.1	108.776	108.146	96	94.989	 	7H	98	99.25	109	109.85	122
125	TR125x6	6	7e	125	124.575	121.875	121.5	118	117.413	 	7H	119	119.56	122	122.5	126
125	TR125x12	12	7e	125	124.4	118.83	118.33	112	111.215	 	7H	113	113.8	119	119.67	126
125	TR125x14	14	7e	125	124.33	117.82	117.29	109	108.157	 	7H	111	111.9	118	118.71	127
125	TR125x22	22	7e	125	124.1	113.776	113.146	101	99.989	 	7H	103	104.25	114	114.85	127
130	TR130x6	6	7e	130	129.575	126.875	126.5	123	122.413	 	7H	124	124.56	127	127.5	131
130	TR130x12	12	7e	130	129.4	123.83	123.33	117	116.215	 	7H	118	118.8	124	124.67	131
130	TR130x14	14	7e	130	129.33	122.82	122.29	114	113.157	 	7H	116	116.9	123	123.71	132
130	TR130x22	22	7e	130	129.1	118.776	118.146	106	104.989	 	7H	108	109.25	119	119.85	132
135	TR135x6	6	7e	135	134.575	131.875	131.5	128	127.413	 	7H	129	129.56	132	132.5	136
135	TR135x12	12	7e	135	134.4	128.83	128.33	122	121.215	 	7H	123	123.8	129	129.67	136
135	TR135x14	14	7e	135	134.33	127.82	127.29	119	118.157	 	7H	121	121.9	128	128.71	137
135	TR135x24	24	7e	135	134.05	122.764	122.094	109	107.926	 	7H	111	112.32	123	123.9	137
140	TR140x6	6	7e	140	139.575	136.875	136.5	133	132.413	 	7H	134	134.56	137	137.5	141
140	TR140x12	12	7e	140	139.4	133.83	133.33	127	126.215	 	7H	128	128.8	134	134.67	141
140	TR140x14	14	7e	140	139.33	132.82	132.29	124	123.157	 	7H	126	126.9	133	133.71	142
140	TR140x24	24	7e	140	139.05	127.764	127.094	114	112.926	 	7H	116	117.32	128	128.9	142
145	TR145x6	6	7e	145	144.575	141.875	141.5	138	137.413	 	7H	139	139.56	142	142.5	146
145	TR145x12	12	7e	145	144.4	138.83	138.33	132	131.215	 	7H	133	133.8	139	139.67	146
145	TR145x14	14	7e	145	144.33	137.82	137.29	129	128.157	 	7H	131	131.9	138	138.71	147
145	TR145x24	24	7e	145	144.05	132.764	132.094	119	117.926	 	7H	121	122.32	133	133.9	147
150	TR150x6	6	7e	150	149.575	146.875	146.5	143	142.413	 	7H	144	144.56	147	147.5	151
150	TR150x12	12	7e	150	149.4	143.83	143.33	137	136.215	 	7H	138	138.8	144	144.67	151
150	TR150x16	16	7e	150	149.29	141.81	141.25	132	131.11	 	7H	134	135	142	142.75	152
150	TR150x24	24	7e	150	149.05	137.764	137.094	124	122.926	 	7H	126	127.32	138	138.9	152
155	TR155x6	6	7e	155	154.575	151.875	151.5	148	147.413	 	7H	149	149.56	152	152.5	156
155	TR155x12	12	7e	155	154.4	148.83	148.33	142	141.215	 	7H	143	143.8	149	149.67	156
155	TR155x16	16	7e	155	154.29	146.81	146.25	137	136.11	 	7H	139	140	147	147.75	157
155	TR155x24	24	7e	155	154.05	142.764	142.094	129	127.926	 	7H	131	132.32	143	143.9	157
160	TR160x6	6	7e	160	159.575	156.875	156.5	153	152.413	 	7H	154	154.56	157	157.5	161
160	TR160x12	12	7e	160	159.4	153.83	153.33	147	146.215	 	7H	148	148.8	154	154.67	161
160	TR160x16	16	7e	160	159.29	151.81	151.25	142	141.11	 	7H	144	145	152	152.75	162
160	TR160x28	28	7e	160	158.94	145.75	145.04	130	128.862	 	7H	132	133.5	146	146.95	162
165	TR165x6	6	7e	165	164.575	161.875	161.5	158	157.413	 	7H	159	159.56	162	162.5	166
165	TR165x12	12	7e	165	164.4	158.83	158.33	152	151.215	 	7H	153	153.8	159	159.67	166
165	TR165x16	16	7e	165	164.29	156.81	156.25	147	146.11	 	7H	149	150	157	157.75	167
165	TR165x28	28	7e	165	163.94	150.75	150.04	135	133.862	 	7H	137	138.5	151	151.95	167
170	TR170x6	6	7e	170	169.575	166.875	166.5	163	162.413	 	7H	164	164.56	167	167.5	171
170	TR170x12	12	7e	170	169.4	163.83	163.33	157	156.215	 	7H	158	158.8	164	164.67	171
170	TR170x16	16	7e	170	169.29	161.81	161.25	152	151.11	 	7H	154	155	162	162.75	172
170	TR170x28	28	7e	170	168.94	155.75	155.04	140	138.862	 	7H	142	143.5	156	156.95	172
175	TR175x8	8	7e	175	174.55	170.868	170.443	166.5	165.837	 	7H	167	167.63	171	171.56	175.5
175	TR175x12	12	7e	175	174.4	168.83	168.33	162	161.215	 	7H	163	163.8	169	169.67	176
175	TR175x16	16	7e	175	174.29	166.81	166.25	157	156.11	 	7H	159	160	167	167.75	177
175	TR175x28	28	7e	175	173.94	160.75	160.04	145	143.862	 	7H	147	148.5	161	161.95	177
180	TR180x8	8	7e	180	179.55	175.868	175.443	171.5	170.837	 	7H	172	172.63	176	176.56	180.5
180	TR180x12	12	7e	180	179.4	173.83	173.33	167	166.215	 	7H	168	168.8	174	174.67	181
180	TR180x18	18	7e	180	179.2	170.8	170.2	160	159.05	 	7H	162	163.12	171	171.8	182
180	TR180x28	28	7e	180	178.94	165.75	165.04	150	148.862	 	7H	152	153.5	166	166.95	182
185	TR185x8	8	7e	185	184.55	180.868	180.418	176.5	175.805	 	7H	177	177.63	181	181.6	185.5
185	TR185x12	12	7e	185	184.4	178.83	178.3	172	171.177	 	7H	173	173.8	179	179.71	186
185	TR185x18	18	7e	185	184.2	175.8	175.17	165	164.013	 	7H	167	168.12	176	176.85	187
185	TR185x24	24	7e	185	184.05	172.764	172.054	159	157.876	 	7H	161	162.32	173	173.95	187
185	TR185x32	32	7e	185	183.88	168.735	167.935	151	149.735	 	7H	153	154.6	169	170.06	187
190	TR190x8	8	7e	190	189.55	185.868	185.418	181.5	180.805	 	7H	182	182.63	186	186.6	190.5
190	TR190x12	12	7e	190	189.4	183.83	183.3	177	176.177	 	7H	178	178.8	184	184.71	191
190	TR190x18	18	7e	190	189.2	180.8	180.17	170	169.013	 	7H	172	173.12	181	181.85	192
190	TR190x24	24	7e	190	189.05	177.764	177.054	164	162.876	 	7H	166	167.32	178	178.95	192
190	TR190x32	32	7e	190	188.88	173.735	172.935	156	154.735	 	7H	158	159.6	174	175.06	192
195	TR195x8	8	7e	195	194.55	190.868	190.418	186.5	185.805	 	7H	187	187.63	191	191.6	195.5
195	TR195x12	12	7e	195	194.4	188.83	188.3	182	181.177	 	7H	183	183.8	189	189.71	196
195	TR195x18	18	7e	195	194.2	185.8	185.17	175	174.013	 	7H	177	178.12	186	186.85	197
195	TR195x24	24	7e	195	194.05	182.764	182.054	169	167.876	 	7H	171	172.32	183	183.95	197
195	TR195x32	32	7e	195	193.88	178.735	177.935	161	159.735	 	7H	163	164.6	179	180.06	197
200	TR200x8	8	7e	200	199.55	195.868	195.418	191.5	190.805	 	7H	192	192.63	196	196.6	200.5
200	TR200x12	12	7e	200	199.4	193.83	193.3	187	186.177	 	7H	188	188.8	194	194.71	201
200	TR200x18	18	7e	200	199.2	190.8	190.17	180	179.013	 	7H	182	183.12	191	191.85	202
200	TR200x24	24	7e	200	199.05	187.764	187.054	174	172.876	 	7H	176	177.32	188	188.95	202
200	TR200x32	32	7e	200	198.88	183.735	182.935	166	164.735	 	7H	168	169.6	184	185.06	202
205	TR205x4	4	7e	205	204.7	202.905	202.55	200.5	199.979	 	7H	201	201.375	203	203.5	205.5
210	TR210x4	4	7e	210	209.7	207.905	207.55	205.5	204.979	 	7H	206	206.375	208	208.5	210.5
210	TR210x8	8	7e	210	209.55	205.868	205.418	201.5	200.805	 	7H	202	202.63	206	206.6	210.5
210	TR210x12	12	7e	210	209.4	203.83	203.3	197	196.177	 	7H	198	198.8	204	204.71	211
210	TR210x20	20	7e	210	209.15	199.788	199.118	188	186.95	 	7H	190	191.18	200	200.9	212
210	TR210x24	24	7e	210	209.05	197.764	197.054	184	182.876	 	7H	186	187.32	198	198.95	212
210	TR210x36	36	7e	210	208.75	191.72	190.87	172	170.657	 	7H	174	175.8	192	193.12	212
215	TR215x4	4	7e	215	214.7	212.905	212.55	210.5	209.979	 	7H	211	211.375	213	213.5	215.5
220	TR220x4	4	7e	220	219.7	217.905	217.55	215.5	214.979	 	7H	216	216.375	218	218.5	220.5
220	TR220x8	8	7e	220	219.55	215.868	215.418	211.5	210.805	 	7H	212	212.63	216	216.6	220.5
220	TR220x12	12	7e	220	219.4	213.83	213.3	207	206.177	 	7H	208	208.8	214	214.71	221
220	TR220x20	20	7e	220	219.15	209.788	209.118	198	196.95	 	7H	200	201.18	210	210.9	222
220	TR220x24	24	7e	220	219.05	207.764	207.054	194	192.876	 	7H	196	197.32	208	208.95	222
220	TR220x36	36	7e	220	218.75	201.72	200.87	182	180.657	 	7H	184	185.8	202	203.12	222
230	TR230x4	4	7e	230	229.7	227.905	227.55	225.5	224.979	 	7H	226	226.375	228	228.5	230.5
230	TR230x8	8	7e	230	229.55	225.868	225.418	221.5	220.805	 	7H	222	222.63	226	226.6	230.5
230	TR230x12	12	7e	230	229.4	223.83	223.3	217	216.177	 	7H	218	218.8	224	224.71	231
230	TR230x20	20	7e	230	229.15	219.788	219.118	208	206.95	 	7H	210	211.18	220	220.9	232
230	TR230x24	24	7e	230	229.05	217.764	217.054	204	202.876	 	7H	206	207.32	218	218.95	232
230	TR230x36	36	7e	230	228.75	211.72	210.87	192	190.657	 	7H	194	195.8	212	213.12	232
235	TR235x4	4	7e	235	234.7	232.905	232.55	230.5	229.979	 	7H	231	231.375	233	233.5	235.5
240	TR240x4	4	7e	240	239.7	237.905	237.55	235.5	234.979	 	7H	236	236.375	238	238.5	240.5
240	TR240x8	8	7e	240	239.55	235.868	235.418	231.5	230.805	 	7H	232	232.63	236	236.6	240.5
240	TR240x12	12	7e	240	239.4	233.83	233.3	227	226.177	 	7H	228	228.8	234	234.71	241
240	TR240x20	20	7e	240	239.15	229.788	229.118	218	216.95	 	7H	220	221.18	230	230.9	242
240	TR240x22	22	7e	240	239.1	228.776	228.106	216	214.938	 	7H	218	219.25	229	229.9	242
240	TR240x24	24	7e	240	239.05	227.764	227.054	214	212.876	 	7H	216	217.32	228	228.95	242
240	TR240x36	36	7e	240	238.75	221.72	220.87	202	200.657	 	7H	204	205.8	222	223.12	242
250	TR250x4	4	7e	250	249.7	247.905	247.55	245.5	244.979	 	7H	246	246.375	248	248.5	250.5
250	TR250x12	12	7e	250	249.4	243.83	243.3	237	236.177	 	7H	238	238.8	244	244.71	251
250	TR250x22	22	7e	250	249.1	238.776	238.106	226	224.938	 	7H	228	229.25	239	239.9	252
250	TR250x24	24	7e	250	249.05	237.764	237.054	224	222.876	 	7H	226	227.32	238	238.95	252
250	TR250x40	40	7e	250	248.68	229.7	228.85	208	206.637	 	7H	210	211.9	230	231.12	252
260	TR260x4	4	7e	260	259.7	257.905	257.55	255.5	254.979	 	7H	256	256.375	258	258.5	260.5
260	TR260x12	12	7e	260	259.4	253.83	253.3	247	246.177	 	7H	248	248.8	254	254.71	261
260	TR260x20	20	7e	260	259.15	249.788	249.118	238	236.95	 	7H	240	241.18	250	250.9	262
260	TR260x22	22	7e	260	259.1	248.776	248.106	236	234.938	 	7H	238	239.25	249	249.9	262
260	TR260x24	24	7e	260	259.05	247.764	247.054	234	232.876	 	7H	236	237.32	248	248.95	262
260	TR260x40	40	7e	260	258.68	239.7	238.85	218	216.637	 	7H	220	221.9	240	241.12	262
270	TR270x12	12	7e	270	269.4	263.83	263.3	257	256.177	 	7H	258	258.8	264	264.71	271
270	TR270x24	24	7e	270	269.05	257.764	257.054	244	242.876	 	7H	246	247.32	258	258.95	272
270	TR270x40	40	7e	270	268.68	249.7	248.85	228	226.637	 	7H	230	231.9	250	251.12	272
275	TR275x4	4	7e	275	274.7	272.905	272.55	270.5	269.979	 	7H	271	271.375	273	273.5	275.5
280	TR280x4	4	7e	280	279.7	277.905	277.55	275.5	274.979	 	7H	276	276.375	278	278.5	280.5
280	TR280x12	12	7e	280	279.4	273.83	273.3	267	266.177	 	7H	268	268.8	274	274.71	281
280	TR280x24	24	7e	280	279.05	267.764	267.054	254	252.876	 	7H	256	257.32	268	268.95	282
280	TR280x40	40	7e	280	278.68	259.7	258.85	238	236.637	 	7H	240	241.9	260	261.12	282
290	TR290x4	4	7e	290	289.7	287.905	287.55	285.5	284.979	 	7H	286	286.375	288	288.5	290.5
290	TR290x12	12	7e	290	289.4	283.83	283.3	277	276.177	 	7H	278	278.8	284	284.71	291
290	TR290x24	24	7e	290	289.05	277.764	277.054	264	262.876	 	7H	266	267.32	278	278.95	292
290	TR290x44	44	7e	290	288.6	267.685	266.785	244	242.56	 	7H	246	248	268	269.25	292
295	TR295x4	4	7e	295	294.7	292.905	292.55	290.5	289.979	 	7H	291	291.375	293	293.5	295.5
300	TR300x4	4	7e	300	299.7	297.905	297.55	295.5	294.979	 	7H	296	296.375	298	298.5	300.5
300	TR300x12	12	7e	300	299.4	293.83	293.3	287	286.177	 	7H	288	288.8	294	294.71	301
300	TR300x24	24	7e	300	299.05	287.764	287.054	274	272.876	 	7H	276	277.32	288	288.95	302
300	TR300x44	44	7e	300	298.6	277.685	276.785	254	252.56	 	7H	256	258	278	279.25	302
310	TR310x5	5	7e	310	309.665	307.394	307.039	304.5	303.979	 	7H	305	305.45	307.5	308	310.5
315	TR315x5	5	7e	315	314.665	312.394	312.039	309.5	308.979	 	7H	310	310.45	312.5	313	315.5
320	TR320x5	5	7e	320	319.665	317.394	317.019	314.5	313.925	 	7H	315	315.45	317.5	318.03	320.5
320	TR320x12	12	7e	320	319.4	313.83	313.3	307	306.177	 	7H	308	308.8	314	314.71	321
320	TR320x24	24	7e	320	319.05	307.764	307.054	294	292.876	 	7H	296	297.32	308	308.95	322
320	TR320x44	44	7e	320	318.6	297.685	296.785	275	273.56	 	7H	276	278	298	299.25	321
330	TR330x5	5	7e	330	329.665	327.394	327.039	324.5	323.979	 	7H	325	325.45	327.5	328	330.5
335	TR335x5	5	7e	335	334.665	332.394	332.039	329.5	328.979	 	7H	330	330.45	332.5	333	335.5
340	TR340x5	5	7e	340	339.665	337.394	337.019	334.5	333.925	 	7H	335	335.45	337.5	338.03	340.5
340	TR340x12	12	7e	340	339.4	333.83	333.3	327	326.177	 	7H	328	328.8	334	334.71	341
340	TR340x24	24	7e	340	339.05	327.764	327.054	314	312.876	 	7H	316	317.32	328	328.95	342
340	TR340x28	28	7e	340	338.94	325.75	325	310	308.813	 	7H	312	313.5	326	327	342
340	TR340x44	44	7e	340	338.6	317.685	316.785	295	293.56	 	7H	296	298	318	319.25	341
345	TR345x5	5	7e	345	344.665	342.394	342.039	339.5	338.979	 	7H	340	340.45	342.5	343	345.5
350	TR350x5	5	7e	350	349.665	347.394	347.039	344.5	343.979	 	7H	345	345.45	347.5	348	350.5
355	TR355x5	5	7e	355	354.665	352.394	352.039	349.5	348.979	 	7H	350	350.45	352.5	353	355.5
360	TR360x5	5	7e	360	359.665	357.394	356.994	354.5	353.894	 	7H	355	355.45	357.5	358.06	360.5
360	TR360x12	12	7e	360	359.4	353.83	353.27	347	346.13	 	7H	348	348.8	354	354.8	361
360	TR360x24	24	7e	360	359.05	347.764	347.014	334	332.827	 	7H	336	337.32	348	349	362
